counterparty_id,amendment_count_24m,obligation_count,schedule_count,contract_start_date,contract_end_date
VEN-00056,3,28,6,31/12/2017,01/11/2027
VEN-00057,1,28,4,01/04/2018,01/12/2029
VEN-00058,3,29,2,31/12/2017,02/05/2027
VEN-00059,1,23,5,01/12/2021,31/08/2029
VEN-00060,4,19,5,01/09/2018,31/12/2028
VEN-00061,1,33,4,31/10/2020,02/03/2027
VEN-00062,4,28,3,01/06/2017,30/11/2028
VEN-00063,2,29,4,31/12/2020,01/04/2028
VEN-00064,5,23,4,31/12/2024,01/06/2026
VEN-00065,1,18,7,31/10/2017,01/10/2027
VEN-00066,1,23,3,30/11/2020,01/10/2026
VEN-00067,2,26,3,01/08/2025,01/06/2028
VEN-00068,2,23,1,31/08/2017,01/08/2025
VEN-00069,0,20,2,01/06/2025,01/10/2025
VEN-00070,1,25,4,31/10/2024,02/07/2027
VEN-00071,0,30,3,31/10/2018,01/04/2028
VEN-00072,2,21,7,01/06/2024,31/12/2027
VEN-00073,1,24,2,02/04/2023,01/10/2025
VEN-00074,2,26,3,01/12/2021,01/12/2025
VEN-00075,0,25,3,01/04/2016,01/12/2025
VEN-00076,2,30,4,01/05/2020,01/10/2025
VEN-00077,2,32,2,01/04/2016,30/01/2030
VEN-00078,0,37,4,01/10/2018,31/10/2026
VEN-00079,5,32,2,31/01/2023,31/10/2029
VEN-00080,2,27,4,01/05/2020,31/01/2028
VEN-00081,1,34,2,01/08/2022,31/12/2030
VEN-00082,3,25,1,01/11/2023,01/12/2030
VEN-00083,1,26,6,01/08/2020,30/09/2028
VEN-00084,2,31,5,01/07/2017,01/08/2030
VEN-00085,1,26,3,30/01/2018,01/08/2027
VEN-00086,3,31,2,02/05/2023,01/08/2027
VEN-00087,1,23,3,02/05/2023,31/12/2025
VEN-00088,0,27,3,01/06/2017,01/07/2028
VEN-00089,1,22,6,01/09/2019,30/01/2029
VEN-00090,1,31,5,31/12/2020,01/07/2028
VEN-00091,3,23,8,01/10/2017,01/08/2026
VEN-00092,2,26,6,01/08/2025,02/04/2027
VEN-00093,0,27,5,01/06/2018,01/10/2026
VEN-00094,1,25,6,02/03/2021,01/04/2030
VEN-00095,1,26,6,30/01/2021,30/01/2026
VEN-00096,0,32,4,01/06/2019,31/12/2026
VEN-00097,2,23,3,01/09/2023,02/03/2027
VEN-00098,0,20,3,02/03/2017,01/10/2027
VEN-00099,3,31,5,30/01/2025,31/01/2027
VEN-00100,2,26,3,01/03/2020,02/07/2030
VEN-00101,1,24,3,02/03/2021,01/03/2028
VEN-00102,1,33,4,31/01/2016,02/04/2027
VEN-00103,0,22,5,01/06/2019,02/04/2027
VEN-00104,2,24,5,02/03/2022,01/04/2028
VEN-00105,2,27,5,01/10/2021,01/06/2027
VEN-00106,0,30,3,02/07/2023,02/05/2030
VEN-00107,3,28,5,01/06/2025,31/12/2025
VEN-00108,3,38,5,01/07/2021,02/03/2027
VEN-00109,1,27,5,01/10/2025,01/10/2027
VEN-00110,3,35,11,02/05/2019,31/10/2030
VEN-00111,0,25,12,30/11/2016,31/12/2026
VEN-00112,3,33,6,31/12/2024,02/07/2026
VEN-00113,0,24,5,01/04/2016,01/08/2027
VEN-00114,0,30,10,30/01/2025,01/04/2029
VEN-00115,3,27,4,02/03/2021,01/12/2030
VEN-00116,2,26,2,01/10/2019,31/08/2025
VEN-00117,3,32,4,01/08/2019,31/12/2028
VEN-00118,0,31,3,30/01/2022,01/06/2028
VEN-00119,4,23,7,01/07/2025,02/04/2027
VEN-00120,1,23,3,02/03/2018,02/03/2026
VEN-00121,3,30,4,02/05/2021,30/01/2029
VEN-00122,3,29,3,02/05/2023,30/11/2028
VEN-00123,4,28,4,01/06/2021,30/01/2026
VEN-00124,3,28,6,01/08/2021,31/10/2028
VEN-00125,2,26,6,31/12/2019,01/04/2028
VEN-00126,1,26,2,31/10/2020,01/09/2027
VEN-00127,1,25,2,31/12/2019,01/05/2028
VEN-00128,3,20,3,01/07/2016,01/08/2030
VEN-00129,1,28,6,30/09/2016,01/10/2027
VEN-00130,1,23,6,01/12/2025,01/06/2030
VEN-00131,2,35,4,02/07/2019,01/07/2025
VEN-00132,0,33,3,01/10/2023,01/07/2029
VEN-00133,2,27,5,01/04/2025,01/08/2029
VEN-00134,0,21,4,31/12/2024,01/06/2029
VEN-00135,0,26,3,01/08/2019,01/06/2027
VEN-00136,4,26,4,31/01/2016,31/08/2025
VEN-00137,5,39,3,02/03/2018,01/08/2025
VEN-00138,2,30,6,31/08/2024,02/03/2027
VEN-00139,2,35,7,01/11/2023,31/12/2025
VEN-00140,1,31,5,01/10/2017,02/07/2026
VEN-00141,2,24,4,01/12/2019,01/06/2025
VEN-00142,1,34,3,30/09/2020,02/07/2027
VEN-00143,1,32,5,01/03/2024,02/07/2030
VEN-00144,1,32,3,02/03/2018,01/12/2025
VEN-00145,1,30,3,01/08/2017,01/06/2027
VEN-00146,2,19,6,01/12/2022,31/01/2027
VEN-00147,4,32,2,01/01/2016,01/11/2027
VEN-00148,3,24,3,02/03/2021,01/08/2028
VEN-00149,1,30,6,01/08/2025,01/08/2030
VEN-00150,2,25,2,01/03/2016,01/04/2026
VEN-00151,0,25,4,01/01/2024,31/12/2026
VEN-00152,5,27,4,31/12/2024,01/12/2025
VEN-00153,2,23,3,01/06/2021,01/08/2025
VEN-00154,2,24,5,01/10/2019,02/05/2029
VEN-00155,1,23,3,01/09/2019,31/12/2026
VEN-00156,4,17,7,01/06/2016,01/10/2026
VEN-00157,1,21,3,02/05/2021,01/11/2027
VEN-00158,3,22,6,31/08/2024,31/12/2027
VEN-00159,1,35,5,01/06/2021,01/11/2027
VEN-00160,1,33,4,01/08/2017,30/01/2030
VEN-00161,1,32,6,31/10/2025,01/04/2029
VEN-00162,0,23,5,02/03/2023,02/07/2027
VEN-00163,4,27,7,02/03/2019,01/06/2026
VEN-00164,2,24,4,01/12/2023,31/10/2025
VEN-00165,5,28,4,30/01/2021,02/05/2029
VEN-00166,2,35,4,01/05/2024,31/10/2029
VEN-00167,3,22,2,31/08/2024,02/05/2029
VEN-00168,1,27,2,01/08/2018,01/07/2029
VEN-00169,0,29,5,02/03/2018,30/11/2028
VEN-00170,0,23,3,01/08/2025,31/10/2028
VEN-00171,4,33,6,01/08/2020,31/10/2030
VEN-00172,2,25,8,01/10/2021,01/06/2028
VEN-00173,0,21,3,01/04/2022,02/07/2030
VEN-00174,3,24,5,31/12/2018,01/08/2029
VEN-00175,3,25,3,01/08/2019,01/11/2027
VEN-00176,2,26,4,01/08/2024,02/05/2027
VEN-00177,2,31,4,01/04/2016,01/04/2026
VEN-00178,0,24,2,01/10/2023,02/03/2027
VEN-00179,3,21,4,01/07/2020,01/05/2028
VEN-00180,2,24,1,01/06/2024,30/11/2028
VEN-00181,4,23,3,01/12/2019,02/03/2030
VEN-00182,0,33,3,31/08/2025,01/04/2026
VEN-00183,1,18,3,02/04/2023,01/04/2026
VEN-00184,1,23,2,01/06/2021,30/11/2028
VEN-00185,1,28,5,31/12/2024,01/06/2025
VEN-00186,1,29,3,31/12/2020,01/04/2030
VEN-00187,3,23,4,01/03/2020,02/07/2026
VEN-00188,0,28,2,01/07/2016,01/04/2028
VEN-00189,1,40,6,01/04/2022,01/10/2025
VEN-00190,2,22,4,01/09/2018,01/10/2025
VEN-00191,5,21,4,02/05/2023,01/06/2030
VEN-00192,0,30,9,01/04/2016,30/01/2029
VEN-00193,2,31,4,01/05/2016,31/08/2030
VEN-00194,4,19,6,01/06/2018,01/04/2030
VEN-00195,1,32,4,01/11/2023,31/12/2030
VEN-00196,3,21,1,01/03/2016,01/06/2026
VEN-00197,3,31,3,31/12/2021,01/07/2029
VEN-00198,2,28,2,02/07/2023,31/10/2028
VEN-00199,1,27,6,01/12/2021,02/07/2026
VEN-00200,2,27,3,01/04/2024,01/06/2026
VEN-00201,1,32,3,02/05/2022,02/07/2027
VEN-00202,0,21,8,30/01/2022,31/12/2029
VEN-00203,1,30,3,01/01/2016,31/12/2027
VEN-00204,1,26,2,31/12/2020,01/10/2026
VEN-00205,1,28,2,01/08/2018,31/08/2028
VEN-00206,1,30,7,01/10/2017,30/11/2028
VEN-00207,1,23,2,01/07/2016,31/10/2028
VEN-00208,5,23,5,01/08/2020,31/08/2028
VEN-00209,1,21,7,31/01/2020,02/07/2027
VEN-00210,2,26,2,01/06/2016,01/06/2027
VEN-00211,2,38,2,02/03/2019,02/07/2027
VEN-00212,1,26,3,31/01/2023,02/07/2030
VEN-00213,2,21,5,31/12/2019,01/10/2027
VEN-00214,1,23,4,01/03/2020,02/07/2030
VEN-00215,2,29,7,31/01/2020,31/01/2027
VEN-00216,1,28,4,01/06/2019,02/04/2027
VEN-00217,2,32,5,31/08/2021,02/05/2027
VEN-00218,4,30,4,01/06/2024,02/05/2027
VEN-00219,1,27,5,02/05/2022,02/03/2027
VEN-00220,4,37,1,30/01/2018,30/01/2029
VEN-00221,1,34,5,01/01/2016,31/10/2030
VEN-00222,2,35,3,01/08/2019,01/12/2026
VEN-00223,1,32,2,02/03/2018,31/01/2027
VEN-00224,1,23,3,01/01/2024,31/12/2026
VEN-00225,1,36,5,30/01/2018,01/09/2026
VEN-00226,2,21,3,31/10/2021,01/06/2025
VEN-00227,3,28,4,01/12/2018,01/05/2025
VEN-00228,2,26,2,01/08/2019,31/10/2025
VEN-00229,0,26,2,02/05/2018,02/03/2026
VEN-00230,2,29,4,01/08/2018,30/01/2029
VEN-00231,3,26,7,02/07/2019,31/12/2025
VEN-00232,1,17,4,01/10/2021,02/03/2027
VEN-00233,1,25,3,31/10/2017,31/12/2027
VEN-00234,0,25,2,01/10/2018,01/10/2025
VEN-00235,1,25,5,01/08/2024,31/12/2027
VEN-00236,1,36,5,02/05/2023,31/08/2030
VEN-00237,1,32,4,02/04/2023,01/05/2025
VEN-00238,1,26,8,01/12/2022,31/12/2026
VEN-00239,1,13,6,01/12/2018,31/10/2025
VEN-00240,3,20,4,31/10/2025,02/07/2026
VEN-00241,4,26,8,02/05/2023,02/03/2030
VEN-00242,1,21,2,30/01/2021,01/05/2028
VEN-00243,3,19,5,01/03/2024,02/04/2027
VEN-00244,2,20,6,31/01/2024,30/01/2030
VEN-00245,0,28,3,31/08/2021,01/08/2030
VEN-00246,1,23,5,01/12/2019,02/05/2030
VEN-00247,3,23,6,01/08/2022,01/04/2028
VEN-00248,0,24,4,01/05/2016,31/01/2027
VEN-00249,1,25,4,01/10/2021,01/04/2028
VEN-00250,5,22,2,01/01/2016,01/08/2029
VEN-00251,1,31,3,01/05/2020,01/11/2027
VEN-00252,2,32,3,01/04/2022,01/05/2028
VEN-00253,2,33,6,31/10/2024,01/10/2029
VEN-00254,1,34,5,01/08/2018,30/09/2028
VEN-00255,2,26,3,01/08/2020,31/08/2029
VEN-00256,5,20,5,01/05/2016,01/11/2027
VEN-00257,3,25,5,01/04/2016,01/12/2029
VEN-00258,1,30,2,30/09/2020,02/05/2026
VEN-00259,2,38,3,02/07/2023,02/05/2029
VEN-00260,1,30,4,01/08/2022,31/12/2029
VEN-00261,1,26,3,01/04/2025,01/09/2027
VEN-00262,3,16,5,01/06/2024,01/06/2028
VEN-00263,2,37,3,31/10/2021,31/10/2028
VEN-00264,5,34,4,01/03/2024,01/08/2027
VEN-00265,0,34,3,01/06/2017,31/01/2028
VEN-00266,5,29,2,01/06/2017,02/03/2029
VEN-00267,1,27,5,01/03/2024,01/08/2029
VEN-00268,0,26,4,02/05/2023,01/10/2027
VEN-00269,0,35,4,31/08/2017,01/06/2030
VEN-00270,3,29,6,02/04/2023,02/03/2030
VEN-00271,0,31,4,02/05/2023,01/07/2029
VEN-00272,2,25,3,02/07/2018,30/01/2026
VEN-00273,2,27,6,01/12/2021,02/07/2027
VEN-00274,2,29,7,01/08/2017,01/07/2025
VEN-00275,1,26,5,31/08/2020,31/08/2030
VEN-00276,0,30,2,01/11/2023,01/08/2028
VEN-00277,1,27,2,01/06/2024,02/03/2027
VEN-00278,1,27,8,31/01/2019,01/10/2026
VEN-00279,2,26,1,01/07/2021,01/04/2029
VEN-00280,1,31,5,01/07/2021,31/12/2025
VEN-00281,1,29,3,02/03/2019,01/06/2027
VEN-00282,7,21,5,02/03/2023,01/07/2025
VEN-00283,2,22,6,01/01/2016,01/08/2029
VEN-00284,2,24,3,30/09/2020,01/10/2029
VEN-00285,3,28,4,01/05/2017,01/08/2029
VEN-00286,0,23,5,02/03/2018,31/10/2030
VEN-00287,3,29,7,01/12/2019,31/01/2028
VEN-00288,0,22,5,31/12/2024,31/10/2028
VEN-00289,1,29,3,01/08/2018,01/04/2030
VEN-00290,3,29,3,01/04/2025,01/10/2029
VEN-00291,2,34,7,01/08/2018,01/12/2027
VEN-00292,5,30,4,31/10/2016,30/01/2030
VEN-00293,2,28,2,31/08/2020,01/10/2029
VEN-00294,0,23,3,01/05/2016,01/12/2029
VEN-00295,2,19,4,01/09/2019,31/01/2028
VEN-00296,2,31,5,31/08/2020,02/03/2027
VEN-00297,3,21,7,31/08/2020,01/10/2029
VEN-00298,1,29,3,01/07/2024,01/05/2025
VEN-00299,0,29,6,01/05/2025,02/05/2030
VEN-00300,1,31,3,02/03/2025,30/11/2028
VEN-00301,2,22,7,31/12/2016,30/01/2030
VEN-00302,2,21,7,01/06/2024,01/10/2030
VEN-00303,1,31,3,01/08/2019,01/07/2029
VEN-00304,1,31,2,02/03/2023,01/06/2030
VEN-00305,0,19,5,02/03/2022,31/12/2028
VEN-00306,2,21,3,31/01/2019,01/05/2025
VEN-00307,3,27,5,01/04/2017,02/07/2027
VEN-00308,2,30,5,31/10/2024,02/07/2030
VEN-00309,0,29,6,30/09/2020,01/08/2026
VEN-00310,2,26,5,01/08/2024,01/05/2025
VEN-00311,1,23,4,01/12/2023,01/09/2027
VEN-00312,2,31,7,31/10/2018,01/05/2028
VEN-00313,3,25,6,31/08/2025,01/03/2028
VEN-00314,2,23,3,01/06/2023,02/03/2030
VEN-00315,4,27,5,01/06/2020,02/05/2026
VEN-00316,3,25,4,01/11/2023,01/09/2027
VEN-00317,1,29,6,30/01/2022,30/09/2028
VEN-00318,4,32,4,01/03/2020,01/04/2029
VEN-00319,2,28,5,30/11/2016,02/03/2030
VEN-00320,5,34,7,02/03/2025,01/09/2026
VEN-00321,1,22,7,30/11/2020,02/05/2030
VEN-00322,2,31,4,01/09/2019,31/10/2030
VEN-00323,4,24,4,02/03/2021,31/12/2030
VEN-00324,1,33,3,01/10/2025,01/08/2025
VEN-00325,3,37,8,02/05/2018,01/06/2027
VEN-00326,1,29,4,01/09/2023,30/11/2028
VEN-00327,2,29,5,31/12/2024,31/12/2026
VEN-00328,6,35,4,01/06/2021,01/07/2025
VEN-00329,1,37,4,31/01/2024,31/10/2026
VEN-00330,3,29,4,01/09/2019,01/07/2025
VEN-00331,2,25,4,01/08/2020,01/07/2029
VEN-00332,2,27,4,01/12/2023,31/10/2026
VEN-00333,3,24,4,30/09/2016,30/01/2029
VEN-00334,1,31,2,02/03/2017,01/06/2025
VEN-00335,2,24,4,31/10/2022,31/10/2029
VEN-00336,4,20,4,30/09/2016,02/07/2026
VEN-00337,1,31,4,31/08/2022,01/09/2026
VEN-00338,3,28,5,02/03/2021,02/03/2026
VEN-00339,5,23,5,01/05/2020,01/10/2025
VEN-00340,3,29,5,02/04/2023,02/07/2030
VEN-00341,2,38,2,01/12/2019,31/08/2030
VEN-00342,2,27,4,31/10/2024,01/07/2025
VEN-00343,3,28,7,01/12/2019,31/10/2026
VEN-00344,2,28,6,01/08/2016,31/10/2028
VEN-00345,4,29,4,01/10/2022,01/08/2028
VEN-00346,3,21,5,01/08/2024,02/03/2029
VEN-00347,2,27,2,01/03/2020,02/07/2030
VEN-00348,2,25,3,31/12/2022,31/12/2029
VEN-00349,5,14,3,02/07/2018,31/01/2027
VEN-00350,1,35,8,31/08/2022,01/06/2027
VEN-00351,1,32,4,01/05/2025,02/04/2027
VEN-00352,3,18,4,02/04/2023,02/05/2026
VEN-00353,2,17,4,31/08/2017,01/08/2028
VEN-00354,2,20,4,01/12/2025,31/12/2025
VEN-00355,0,19,1,30/01/2017,01/12/2025
VEN-00356,0,23,7,01/12/2023,30/01/2026
VEN-00357,3,24,8,02/04/2023,01/08/2029
VEN-00358,3,23,4,02/07/2018,01/05/2028
VEN-00359,2,31,5,31/08/2016,31/01/2027
VEN-00360,2,21,3,01/12/2023,30/09/2028
VEN-00361,0,27,2,31/10/2016,01/06/2029
VEN-00362,4,26,4,02/05/2018,31/10/2029
VEN-00363,0,21,5,31/08/2025,01/12/2027
VEN-00364,5,25,3,31/10/2021,01/12/2029
VEN-00365,4,29,3,01/06/2023,02/03/2027
VEN-00366,2,25,4,02/03/2025,02/03/2030
VEN-00367,4,22,4,30/09/2016,01/06/2026
VEN-00368,3,26,3,31/08/2017,01/04/2026
VEN-00369,1,26,3,01/04/2017,31/08/2029
VEN-00370,4,30,5,01/08/2019,01/08/2029
VEN-00371,1,24,6,01/09/2018,02/05/2030
VEN-00372,1,29,4,01/11/2019,01/10/2025
VEN-00373,3,22,7,01/07/2025,02/07/2030
VEN-00374,0,28,7,01/06/2024,02/05/2030
VEN-00375,2,23,1,30/01/2017,01/07/2028
VEN-00376,0,27,7,01/10/2019,01/05/2028
VEN-00377,4,33,4,01/10/2022,02/03/2026
VEN-00378,2,34,3,31/12/2017,31/12/2028
VEN-00379,0,29,6,31/08/2020,31/08/2029
VEN-00380,3,30,3,01/01/2016,31/10/2028
VEN-00381,1,20,4,31/12/2020,01/08/2026
VEN-00382,3,23,6,02/04/2019,01/07/2028
VEN-00383,1,37,1,01/03/2016,01/04/2026
VEN-00384,1,31,4,31/08/2021,01/05/2028
VEN-00385,0,26,5,31/08/2016,02/05/2030
VEN-00386,2,34,2,01/10/2017,01/08/2030
VEN-00387,0,25,3,01/08/2025,01/06/2029
VEN-00388,1,27,4,01/06/2025,02/05/2027
VEN-00389,1,24,3,31/12/2024,02/04/2027
VEN-00390,1,29,3,01/10/2021,01/10/2029
VEN-00391,3,19,6,31/10/2017,01/05/2025
VEN-00392,0,31,3,01/09/2018,02/05/2027
VEN-00393,2,40,8,01/08/2018,01/07/2028
VEN-00394,2,33,5,02/05/2022,01/08/2025
VEN-00395,1,26,2,01/07/2025,01/12/2029
VEN-00396,2,30,3,01/05/2025,02/07/2027
VEN-00397,4,32,3,01/08/2024,30/01/2030
VEN-00398,1,25,5,31/10/2024,02/03/2026
VEN-00399,3,28,5,01/07/2016,01/07/2025
VEN-00400,2,28,5,01/04/2024,01/11/2027
VEN-00401,0,26,1,01/10/2022,31/10/2030
VEN-00402,3,23,5,31/08/2017,01/10/2025
VEN-00403,3,28,3,01/12/2023,31/12/2025
VEN-00404,3,29,6,01/10/2018,31/10/2029
VEN-00405,6,26,8,02/05/2021,01/12/2025
VEN-00406,1,28,6,02/05/2018,31/08/2028
VEN-00407,0,29,5,01/12/2022,01/07/2025
VEN-00408,1,23,5,31/10/2016,01/07/2025
VEN-00409,4,33,5,01/09/2018,02/07/2027
VEN-00410,0,26,1,01/12/2022,31/12/2028
VEN-00411,0,25,5,02/05/2019,30/09/2028
VEN-00412,1,35,2,02/07/2018,01/10/2030
VEN-00413,1,26,5,31/01/2016,01/08/2025
VEN-00414,2,30,6,02/05/2022,31/08/2025
VEN-00415,0,26,3,01/03/2016,01/10/2029
VEN-00416,2,32,6,30/01/2018,02/05/2027
VEN-00417,1,32,3,01/08/2021,02/07/2026
VEN-00418,1,30,4,31/12/2018,01/06/2030
VEN-00419,3,22,12,01/05/2020,31/01/2027
VEN-00420,2,30,3,31/01/2016,01/07/2025
VEN-00421,0,34,3,01/05/2025,01/06/2025
VEN-00422,4,21,4,01/06/2018,01/08/2030
VEN-00423,1,31,4,31/08/2017,01/04/2026
VEN-00424,0,35,2,01/12/2025,31/12/2030
VEN-00425,2,31,4,31/10/2020,01/06/2026
VEN-00426,0,31,4,31/12/2018,02/07/2027
VEN-00427,2,26,4,01/07/2017,31/08/2025
VEN-00428,2,31,8,30/11/2024,31/12/2027
VEN-00429,2,27,4,02/03/2023,31/10/2030
VEN-00430,0,27,3,01/07/2020,31/12/2030
VEN-00431,0,17,9,02/07/2019,01/06/2027
VEN-00432,1,24,2,01/06/2024,31/08/2025
VEN-00433,4,26,1,01/10/2017,01/04/2029
VEN-00434,1,25,2,31/12/2020,31/01/2027
VEN-00435,2,35,4,01/12/2021,01/04/2030
VEN-00436,1,26,2,31/12/2017,31/08/2025
VEN-00437,0,41,4,31/10/2020,31/10/2025
VEN-00438,3,21,6,31/01/2023,01/08/2029
VEN-00439,0,21,6,01/08/2021,31/12/2028
VEN-00440,1,26,10,01/06/2024,31/12/2028
VEN-00441,3,22,7,01/07/2017,01/06/2028
VEN-00442,0,23,8,31/10/2022,01/04/2030
VEN-00443,1,25,5,02/07/2022,02/03/2029
VEN-00444,3,30,4,01/04/2024,01/06/2026
VEN-00445,1,24,1,01/04/2022,01/12/2029
VEN-00446,2,31,5,31/01/2024,01/06/2028
VEN-00447,0,25,3,01/07/2025,02/05/2026
VEN-00448,2,34,5,31/12/2018,01/06/2029
VEN-00449,2,27,4,02/03/2022,02/03/2029
VEN-00450,0,29,3,01/12/2018,01/12/2026
VEN-00451,3,23,6,01/10/2023,02/05/2026
VEN-00452,3,30,7,31/08/2020,01/06/2030
VEN-00453,4,29,2,01/11/2023,01/04/2030
VEN-00454,2,29,5,01/06/2023,01/06/2026
VEN-00455,1,27,5,01/04/2016,01/04/2029
VEN-00456,2,33,2,31/08/2020,31/12/2025
VEN-00457,1,31,4,01/12/2025,02/07/2030
VEN-00458,4,20,1,01/07/2016,01/12/2026
VEN-00459,1,34,2,01/10/2017,01/04/2026
VEN-00460,3,26,6,30/01/2022,01/12/2029
VEN-00461,4,28,6,01/08/2023,31/10/2030
VEN-00462,2,26,6,01/10/2021,01/06/2029
VEN-00463,3,32,6,01/04/2018,01/06/2030
VEN-00464,0,25,4,31/12/2020,01/06/2030
VEN-00465,0,32,5,01/04/2024,31/12/2026
VEN-00466,2,22,1,01/03/2024,31/10/2028
VEN-00467,0,23,4,01/01/2016,01/04/2029
VEN-00468,2,24,4,02/07/2023,01/08/2030
VEN-00469,5,28,4,01/03/2020,01/06/2028
VEN-00470,2,28,4,31/01/2019,01/06/2028
VEN-00471,0,25,6,01/06/2024,31/12/2029
VEN-00472,3,28,6,01/05/2024,01/08/2030
VEN-00473,1,24,7,31/10/2022,31/08/2025
VEN-00474,2,29,2,01/12/2019,02/05/2030
VEN-00475,4,35,6,01/07/2017,01/08/2027
VEN-00476,4,23,2,30/01/2022,31/12/2027
VEN-00477,7,25,5,31/01/2023,01/10/2027
VEN-00478,2,26,3,01/12/2022,01/05/2025
VEN-00479,1,26,8,01/04/2018,01/08/2028
VEN-00480,2,24,5,01/07/2020,31/12/2030
VEN-00481,1,36,3,01/10/2019,01/06/2029
VEN-00482,0,25,6,01/09/2023,01/03/2028
VEN-00483,0,34,3,02/07/2019,01/06/2025
VEN-00484,2,23,3,31/10/2022,01/08/2029
VEN-00485,2,25,3,30/01/2017,02/03/2029
VEN-00486,1,25,3,30/09/2020,01/12/2027
VEN-00487,3,27,2,01/06/2024,01/06/2027
VEN-00488,0,29,6,01/06/2019,02/05/2027
VEN-00489,2,34,5,31/08/2025,02/07/2026
VEN-00490,0,32,4,01/08/2017,02/05/2027
VEN-00491,4,31,5,01/12/2021,01/04/2026
VEN-00492,0,30,2,01/10/2017,02/05/2027
VEN-00493,0,29,5,01/08/2016,31/08/2030
VEN-00494,1,25,6,31/12/2020,01/08/2028
VEN-00495,2,27,2,31/10/2024,31/08/2028
VEN-00496,0,16,4,01/04/2025,01/12/2029
VEN-00497,2,21,4,01/10/2022,02/05/2030
VEN-00498,2,27,4,31/01/2024,01/08/2028
VEN-00499,2,30,6,31/10/2018,02/05/2027
VEN-00500,0,22,2,01/12/2025,01/05/2028
VEN-00501,2,21,3,31/10/2018,01/04/2030
VEN-00502,1,27,3,31/01/2024,31/01/2027
VEN-00503,0,28,4,31/08/2024,01/12/2030
VEN-00504,3,22,7,31/08/2025,01/12/2027
VEN-00505,1,31,2,01/12/2017,01/07/2029
VEN-00506,1,31,4,31/10/2018,02/05/2026
VEN-00507,3,25,4,31/12/2016,01/12/2030
VEN-00508,6,38,2,01/07/2020,01/08/2029
VEN-00509,3,30,6,31/12/2019,01/06/2030
VEN-00510,2,31,4,01/08/2025,31/10/2029
VEN-00511,0,30,2,01/10/2025,01/10/2027
VEN-00512,2,30,7,01/10/2019,01/09/2026
VEN-00513,2,31,3,31/10/2020,01/12/2029
VEN-00514,2,33,6,31/10/2017,01/08/2028
VEN-00515,2,25,2,01/06/2020,01/09/2026
