vendor_reference,business_service_dependency_pct,viable_alternative_provider_count,single_region_delivery_pct,declared_subcontractor_count,relationship_manager_change_count_24m
VEN-00163,51.82016808510528,3,26.11945761662677,6,2
VEN-00164,74.53088075140633,0,38.25413541670955,1,0
VEN-00165,52.04737062960183,6,67.11902393820233,3,2
VEN-00166,47.0944368852843,1,25.590502594889013,1,0
VEN-00167,24.58208662623493,3,50.35521661319676,4,0
VEN-00168,47.092014036789685,0,34.967085569364066,4,0
VEN-00169,31.791289042869504,2,9.07093401306776,5,1
VEN-00170,11.658448460443177,4,48.6789692601058,7,0
VEN-00171,46.31756556804776,2,17.796632967065634,1,1
VEN-00172,90.67866365318822,1,34.87941458959265,4,1
VEN-00173,33.05235351341672,2,42.72732141189397,1,1
VEN-00174,1.6335511288111104,1,40.370394833962166,3,3
VEN-00175,32.91545170353224,0,47.26600781766488,7,0
VEN-00176,53.77088141283206,4,48.51504807862626,3,2
VEN-00177,22.217053223697786,2,71.90484939461551,4,3
VEN-00178,29.132934768331587,2,14.00757677113009,3,1
VEN-00179,13.613044998572304,4,27.71057337781968,1,0
VEN-00180,30.49911056880292,3,18.839642716393808,5,3
VEN-00181,27.50404504674668,1,38.706632284112,5,1
VEN-00182,31.31738284700457,3,43.08260067094901,2,1
VEN-00183,13.135309772481344,2,64.67143206864966,5,1
VEN-00184,51.8153608493218,1,47.90494342127259,4,1
VEN-00185,61.758883368980754,1,23.127779887000592,1,1
VEN-00186,33.40323577578479,0,12.753355717238795,1,0
VEN-00187,67.9682320905935,2,83.48151644239373,6,0
VEN-00188,33.8097201225237,2,61.04089903049591,3,3
VEN-00189,92.3014013497465,4,67.25897241149748,2,0
VEN-00190,34.52680938161352,1,70.49654934393953,3,1
VEN-00191,29.28981486833467,1,63.1374116088457,2,1
VEN-00192,77.74532372195235,0,69.51443572643902,2,3
VEN-00193,35.774040328158186,0,49.9737547436332,5,0
VEN-00194,35.96115605466218,2,55.85834485890332,6,0
VEN-00195,19.222185000532253,4,31.98379759594826,3,1
VEN-00196,12.40115368114005,3,26.08958906356758,2,0
VEN-00197,44.72678774084783,3,19.0989117004214,0,1
VEN-00198,87.08244090444109,0,72.61048022683696,3,0
VEN-00199,35.266151986071954,3,69.90295677236563,4,1
VEN-00200,25.77593278436566,2,28.69321215843284,3,0
VEN-00201,46.186139954466384,3,37.19948438052421,1,0
VEN-00202,14.459381679573664,2,50.97547682104428,6,2
VEN-00203,34.44356103777671,0,64.78154725406348,3,2
VEN-00204,31.91339091268452,0,47.67521450860826,3,0
VEN-00205,30.274131587743497,5,25.622055867905548,8,1
VEN-00206,67.28826760936448,0,62.291985983961006,2,0
VEN-00207,27.342881069694364,0,34.62762006630494,4,0
VEN-00208,56.37861854504968,2,52.02029390784217,6,0
VEN-00209,6.0066038400898085,1,46.39030651965778,2,2
VEN-00210,45.09265239394619,1,54.06689546437525,5,0
VEN-00211,31.716061047190134,1,46.816022750702345,2,1
VEN-00212,30.01923314096394,3,80.85606900871731,4,1
VEN-00213,11.749650667691576,2,35.357422937550545,3,2
VEN-00214,38.22851785193402,1,38.11164085346317,3,0
VEN-00215,63.66784784607267,2,75.58406169094071,2,0
VEN-00216,75.686558313591,2,23.449504989029155,2,0
VEN-00217,11.978861306821468,3,33.39411438871484,2,0
VEN-00218,42.12512244365181,0,91.30856197965755,3,1
VEN-00219,56.91225192781033,1,23.78607324423605,3,0
VEN-00220,24.7246538803936,3,31.87247494874047,4,0
VEN-00221,22.32657621315176,1,51.04576210879937,6,1
VEN-00222,41.43491529954653,4,59.47974631176467,5,1
VEN-00223,63.159709795178806,1,34.66727937141958,3,1
VEN-00224,31.36221614226564,2,66.28630984087809,3,0
VEN-00225,70.6917269048695,1,28.70129393681213,4,1
VEN-00226,17.867152057469134,1,13.030208941057756,3,2
VEN-00227,64.44259608101146,2,68.27435314367915,5,0
VEN-00228,29.21039738390189,2,41.459791419106,2,0
VEN-00229,26.83301930229984,2,41.3942514206752,4,1
VEN-00230,22.01977902713135,4,32.397746513337864,3,0
VEN-00231,18.133677115896823,2,39.23644013996695,4,0
VEN-00232,32.17046398643978,0,38.43409602819092,3,0
VEN-00233,66.27462874574653,0,61.08616486500006,2,2
VEN-00234,35.31639322816507,1,62.25491255080492,2,0
VEN-00235,20.378274823116637,5,52.04797048851355,1,1
VEN-00236,75.88707090861269,3,27.921239172521883,1,1
VEN-00237,10.41497430610319,1,40.73324060846728,6,2
VEN-00238,21.803339096231227,3,35.97226498682602,4,1
VEN-00239,18.57698876455452,1,18.7396621873336,2,1
VEN-00240,14.779632944688847,1,47.07056937570348,5,1
VEN-00241,33.82969876492666,4,44.393971480029656,3,1
VEN-00242,29.67424025206296,1,36.42572535947344,5,0
VEN-00243,65.64866678025739,4,35.4990864064478,4,1
VEN-00244,53.99319279475918,2,61.89509775199705,3,0
VEN-00245,33.47573095551427,3,35.64858156501812,3,0
VEN-00246,69.38411363413137,1,26.104555972601144,1,1
VEN-00247,85.83658716874028,2,43.80635633502206,2,0
VEN-00248,3.385563345295436,2,21.865573344178152,2,0
VEN-00249,76.08605339680742,3,28.236956053801897,1,0
VEN-00250,79.15533416632769,3,44.95761218817788,2,1
VEN-00251,41.78097587960513,2,61.873630863812814,3,0
VEN-00252,50.29595809430724,2,44.76749052721605,1,0
VEN-00253,27.33304382181572,1,46.343086969715976,4,0
VEN-00254,27.50108464297345,0,31.50385796212088,1,0
VEN-00255,21.388617882401498,0,63.31255809868104,5,0
VEN-00256,9.20661407058,3,51.77429552876045,2,1
VEN-00257,80.37828799684569,4,25.28801592723875,3,0
VEN-00258,65.68185622452441,1,59.93968291987276,4,0
VEN-00259,70.43083083571162,2,79.17870532682176,2,0
VEN-00260,69.27924881546174,0,32.556195746419334,3,2
VEN-00261,54.90649160200287,2,38.42395359349551,9,1
VEN-00262,25.94346637157831,3,47.95986411540186,4,0
VEN-00263,61.69198415433211,1,20.084970372894333,4,0
VEN-00264,60.783052305480886,5,71.48583033596766,3,0
VEN-00265,18.00928040384495,2,49.56014135489119,5,1
VEN-00266,56.4813028500456,4,52.79591727939461,0,0
VEN-00267,30.598478611492645,3,30.08946430574576,2,0
VEN-00268,24.06177255648309,4,22.217771990862957,2,1
VEN-00269,34.01978240507104,0,42.88899801610705,3,1
VEN-00270,18.55800125730346,2,47.74375312307234,2,3
VEN-00271,15.119237482261646,4,57.26921448095303,3,1
VEN-00272,35.1173150771167,2,46.1287425851174,3,0
VEN-00273,63.144257423546655,0,35.73913617858032,3,0
VEN-00274,59.49125481672467,3,48.87104946970695,4,0
VEN-00275,47.73211265449998,0,42.606437749626416,7,0
VEN-00276,28.327022290731136,0,60.26428941077794,2,2
VEN-00277,43.91378126277681,1,20.161982439184257,4,1
VEN-00278,25.322650625294543,2,34.0296099443894,2,2
VEN-00279,21.93256511828873,0,10.200886799556844,10,1
VEN-00280,39.2778393935458,2,66.99517843109966,2,0
VEN-00281,8.634659589672951,1,45.08030882948944,3,1
VEN-00282,48.90446969234338,2,4.653443972993921,2,0
VEN-00283,10.536643858326553,1,18.536059075438864,2,0
VEN-00284,46.40413381030213,3,51.21205645698882,1,1
VEN-00285,55.697013594405895,0,48.974689926842224,3,1
VEN-00286,31.273529657780685,5,72.76109686476731,2,0
VEN-00287,33.88259357228352,1,57.82915254969512,3,2
VEN-00288,41.414550926076906,2,35.31538812464735,5,0
VEN-00289,63.833445069759456,2,69.48650917487652,4,0
VEN-00290,39.25420239291482,2,75.48892131221207,7,0
VEN-00291,53.11755451909679,3,61.00327265187452,4,0
VEN-00292,27.721241585589247,1,67.65815319591094,2,2
VEN-00293,33.426619267030574,2,45.44102661335933,2,1
VEN-00294,37.31938930089641,1,46.77712835879551,3,0
VEN-00295,27.274088719975666,0,27.45642326146206,3,1
VEN-00296,45.64488369963103,1,61.96952142358209,7,3
VEN-00297,72.09877961142614,2,30.882115056538623,3,0
VEN-00298,61.23497787968844,1,32.531467711692855,8,0
VEN-00299,7.153978569212873,3,27.5083797215654,7,1
VEN-00300,72.75668333708029,2,63.44084184892898,0,0
VEN-00301,9.070562070710448,2,45.00071255137146,4,0
VEN-00302,35.78688639705651,0,51.75120021780542,4,0
VEN-00303,28.7649384687467,3,70.27975759267309,3,0
VEN-00304,50.00354989854181,3,27.49731512313965,1,1
VEN-00305,36.848295535669294,5,9.445080997220348,1,1
VEN-00306,42.90244036177439,0,47.57297539180186,3,1
VEN-00307,49.40042536099368,1,26.24688764564538,2,0
VEN-00308,70.64178011238396,2,26.673940809664824,3,0
VEN-00309,13.93309775757506,5,63.40322275146046,5,0
VEN-00310,24.566629442331543,1,52.95664349350338,3,2
VEN-00311,4.550176134312911,4,38.59999396980723,3,1
VEN-00312,24.78559711141762,0,70.37614384024947,2,0
VEN-00313,20.103773326549454,3,20.88096966907736,2,1
VEN-00314,30.21715171493888,0,47.53931983092084,6,1
VEN-00315,45.72027016057884,2,50.341781367556685,1,0
VEN-00316,52.67220782265388,3,59.66592037079915,3,0
VEN-00317,22.378224450238932,4,33.71084584599161,2,0
VEN-00318,20.39090127039245,3,66.9998025499585,5,0
VEN-00319,61.81050095183684,1,32.57151121542246,4,1
VEN-00320,20.145302744341308,1,31.128958313080076,6,0
VEN-00321,70.73546268477952,1,62.720249572719325,5,0
VEN-00322,44.70819065128156,2,65.50496897957075,3,0
VEN-00323,80.50287370469466,1,39.19887401911047,2,2
VEN-00324,38.69657079797904,2,22.40054526218192,3,1
VEN-00325,61.480457328715765,1,38.69961369564037,2,0
VEN-00326,76.55645134604462,3,24.54651842939529,1,2
VEN-00327,16.069790455310052,3,14.30725578194718,1,1
VEN-00328,34.52263701298872,0,81.03307821188237,3,0
VEN-00329,29.20926508396949,2,8.489663836412102,1,1
VEN-00330,32.11597525388495,6,50.79089016156368,3,1
VEN-00331,51.02513626630368,1,51.378470990479066,1,1
VEN-00332,33.63664044710309,0,78.05163240343907,2,0
VEN-00333,19.889393133569666,1,33.89702299667552,3,0
VEN-00334,23.5406743856505,2,60.17491866494373,3,0
VEN-00335,69.52708917654536,2,33.584432700410495,5,0
VEN-00336,48.12040423122739,3,37.360526763029135,2,1
VEN-00337,18.84682620448805,1,27.73758148701651,6,1
VEN-00338,26.56125766789338,3,18.527172487723963,1,1
VEN-00339,48.294584631296445,1,50.05954117857745,7,1
VEN-00340,51.14272668205755,1,71.68026408231545,6,0
VEN-00341,78.4185560557966,4,50.6168042208666,4,1
VEN-00342,50.396787965419584,3,13.60201126858519,5,1
VEN-00343,28.24635347020173,3,57.48150389579997,4,0
VEN-00344,70.92748036807558,2,29.520272789553506,1,0
VEN-00345,43.554176239689525,3,30.91009719740167,5,1
VEN-00346,52.76102999696567,1,28.459394000699312,4,1
VEN-00347,28.56279198162618,2,50.3845853245715,3,0
VEN-00348,12.2753968381307,2,33.770084942434714,3,0
VEN-00349,63.9098985655831,1,86.97490452859343,6,1
VEN-00350,22.24352039185538,4,40.39454116818617,3,0
VEN-00351,33.24269502309819,2,70.25822721107083,7,2
VEN-00352,80.20652259633091,2,43.69567803186617,2,0
VEN-00353,60.226142567468784,2,40.385862882914495,3,2
VEN-00354,29.075321931717973,1,31.157090307489284,3,1
VEN-00355,65.64169601147084,1,11.016101990300758,1,0
VEN-00356,7.444859894561788,5,52.27011309150217,2,0
VEN-00357,54.91373611887559,1,76.56304725140892,2,0
VEN-00358,15.3358846134457,1,68.47256139298969,4,1
VEN-00359,48.83227566359511,1,34.17041207353992,3,0
VEN-00360,31.25477931223638,1,12.412372285540489,3,0
VEN-00361,27.78352805224456,2,55.84189751407905,3,0
VEN-00362,63.879081326266,1,4.680501672108995,6,0
VEN-00363,31.304485465594382,4,69.31527566953042,1,1
VEN-00364,49.14451433973503,3,74.9980897436945,3,1
VEN-00365,34.70568717687128,1,22.450616847396216,1,2
VEN-00366,12.058309683945428,2,66.67375766326452,2,0
VEN-00367,38.66623317199422,1,9.96664679228771,2,0
VEN-00368,30.014318586542167,1,4.051152512545088,5,3
VEN-00369,32.676246529583814,3,52.37336894012662,6,0
VEN-00370,26.91168682576675,1,53.46247559490224,5,1
VEN-00371,46.29313963340054,2,54.11282788180208,0,0
VEN-00372,34.78318107332151,2,15.806555249820123,4,1
VEN-00373,9.970385547536193,1,38.68265394256121,4,0
VEN-00374,32.253100310064006,0,22.27223654104016,1,0
VEN-00375,40.404839213639285,5,45.871858758556414,3,1
VEN-00376,40.6286894628659,1,31.06235829399283,4,0
VEN-00377,24.33487801494655,1,45.059990810406106,2,1
VEN-00378,28.76163847214041,1,57.85961916496748,3,0
VEN-00379,47.29754701232768,2,82.46249906792826,5,0
VEN-00380,26.742600546499744,7,57.55787161146089,3,0
VEN-00381,52.94156969930929,2,70.08046998539169,4,0
VEN-00382,35.59014514996186,3,59.04814438413955,4,2
VEN-00383,66.91828039134535,6,67.22415088805106,5,1
VEN-00384,61.38437927433921,1,77.82247315159923,4,0
VEN-00385,19.36580657770217,2,55.87375343103908,3,2
VEN-00386,61.02925656964495,1,71.3005257881847,2,1
VEN-00387,43.7868747775303,2,49.71938971761846,2,3
VEN-00388,37.64357038638856,0,64.24518129427885,3,2
VEN-00389,72.44557893611345,3,73.01246194291608,2,0
VEN-00390,63.887049869581325,4,21.391061113184648,3,2
VEN-00391,24.08274757441293,1,16.459700503746763,3,1
VEN-00392,48.669873112019474,3,60.95939971729781,1,1
VEN-00393,33.84757755850206,5,67.0872310920736,4,4
VEN-00394,27.344962724869426,3,49.73072297252615,1,0
VEN-00395,28.236788035126114,1,92.72902661897828,4,1
VEN-00396,18.19597367253033,3,81.8855475030076,2,1
VEN-00397,21.906703378105124,2,44.53431199611183,7,0
VEN-00398,42.432229551360976,1,45.440822239786286,3,0
VEN-00399,25.084205425892264,2,61.48092718426265,3,2
VEN-00400,39.81608168700619,1,11.688637953595585,3,0
VEN-00401,41.23753719142792,0,48.00296267122502,9,1
VEN-00402,29.84529486096852,2,39.76474940990661,1,0
VEN-00403,44.17842169527776,3,15.919326638431638,1,2
VEN-00404,62.641897014578085,0,56.76299894439969,4,0
VEN-00405,46.58617068109106,1,48.74345219725604,2,0
VEN-00406,66.45645568273648,3,27.49115113235816,1,0
VEN-00407,67.86363078792323,2,17.95326985542164,1,2
VEN-00408,66.31312905947372,5,80.66881163339154,5,0
VEN-00409,14.247827939638247,2,31.463401306855538,2,0
VEN-00410,55.04320040981877,1,13.379155559978514,2,1
VEN-00411,14.414259427599625,4,21.212222733841703,1,0
VEN-00412,97.25977410914942,5,54.42400219473522,3,0
VEN-00413,46.42676010309811,6,15.984390646753512,0,0
VEN-00414,32.77868781244101,2,46.19062851461181,3,0
VEN-00415,40.28701584768179,3,41.80465565296922,3,1
VEN-00416,75.2077410783005,1,52.04321566882676,4,1
VEN-00417,9.987128718430888,4,43.51646421026644,4,0
VEN-00418,35.612126763209304,0,21.90882848384045,2,0
VEN-00419,34.58225056320236,5,56.729024076948896,4,1
VEN-00420,16.762142675524107,2,13.617137711871742,3,0
VEN-00421,61.37285927624549,3,77.04559858618167,3,1
VEN-00422,31.18146085264568,2,24.23390437702941,1,0
VEN-00423,27.58916886614716,1,42.90157777432776,5,1
VEN-00424,29.195886141335738,3,54.60219875162291,6,1
VEN-00425,34.835394273962336,1,30.80722595347527,2,0
VEN-00426,44.27727115828723,1,49.72775186329786,2,1
VEN-00427,16.29287104243698,3,31.75745884185463,3,0
VEN-00428,23.69661313014697,6,28.55146376524253,2,1
VEN-00429,12.304942409011822,3,31.627396738546544,2,0
VEN-00430,41.4334611528818,0,88.56619273705896,5,0
VEN-00431,74.20536649363115,1,89.1785360487449,4,0
VEN-00432,23.752253544768934,1,57.86221555877986,2,0
VEN-00433,46.65914516834913,1,49.96538649945382,4,0
VEN-00434,45.91102351223852,1,66.48229454514501,2,2
VEN-00435,16.66066333063997,1,47.8791104369322,5,2
VEN-00436,43.241479767764616,2,37.38758631233184,3,0
VEN-00437,41.54759773659567,3,46.8687988295174,1,1
VEN-00438,14.73867534064502,3,52.46365244686289,4,0
VEN-00439,9.85788166779787,3,29.996001013486037,2,0
VEN-00440,30.856707277382416,2,79.2769348246133,3,1
VEN-00441,41.81737026575518,1,46.385594586780726,2,0
VEN-00442,71.26725411706126,2,60.41721827185711,10,0
VEN-00443,48.11321213665129,1,23.94297894936028,3,0
VEN-00444,58.94067633949015,5,66.77774094369823,4,1
VEN-00445,73.37408943437369,3,55.471478122554096,5,1
VEN-00446,34.64913397019608,2,36.52470793056053,2,1
VEN-00447,70.76544127383421,0,77.06144252432344,5,2
VEN-00448,82.51904392599654,0,48.348173317809184,0,0
VEN-00449,18.831270089184336,2,50.65161339594968,5,2
VEN-00450,52.334128189043646,2,20.05964224077519,5,1
VEN-00451,3.749901124478852,2,42.50934321803976,3,0
VEN-00452,36.55064920885561,0,64.81775861824211,2,1
VEN-00453,16.218756862751913,2,36.30020834559205,1,0
VEN-00454,31.827517865322385,2,49.06514135178537,2,1
VEN-00455,39.53437428009072,0,37.7677090697901,4,1
VEN-00456,34.314441120631514,1,30.155519902102014,5,0
VEN-00457,35.1126475769795,0,32.719842076627884,1,0
VEN-00458,34.45529955339172,3,68.1883777918126,5,0
VEN-00459,44.32696504639531,2,34.504930577392486,4,2
VEN-00460,48.13620931348225,2,62.82581155258995,1,0
VEN-00461,47.33455189287027,1,83.08575758424078,5,2
VEN-00462,23.261170994514853,6,49.72316817177715,5,1
VEN-00463,24.949830113154235,4,56.51395830141082,5,0
VEN-00464,45.25002135194624,4,33.72731376722459,2,0
VEN-00465,66.27860644275293,3,29.09334018741457,4,2
VEN-00466,47.96949657017942,2,58.56059830422095,1,0
VEN-00467,35.0257285343084,3,44.620586077462185,7,1
VEN-00468,77.17255681932279,3,50.63567872878543,3,0
VEN-00469,71.84160826958058,3,44.757144008452485,4,0
VEN-00470,28.2797514067094,0,21.556773289768127,7,0
VEN-00471,55.23194812899697,1,36.54480009518459,1,0
VEN-00472,8.70992260267536,2,58.90374647363026,5,3
VEN-00473,37.0182864063697,5,36.00973023324038,2,0
VEN-00474,32.258666690224494,6,46.87910821891741,1,2
VEN-00475,60.1719406874372,3,23.662694673523895,1,0
VEN-00476,60.837241196239255,3,21.187792583446512,3,1
VEN-00477,49.95391848712156,1,70.59095532991489,5,0
VEN-00478,30.880761452102835,2,66.2567780233429,5,1
