vendor_key,overdue_review_12m,control_deficiency_12m,concentration_event_12m,financial_distress_12m,contract_non_compliance_12m
VEN-00187,0,0,0,1,0
VEN-00188,1,0,0,0,0
VEN-00189,0,0,1,0,0
VEN-00190,0,1,1,0,0
VEN-00191,0,0,0,0,0
VEN-00192,0,0,1,0,0
VEN-00193,1,0,0,0,0
VEN-00194,0,0,0,1,0
VEN-00195,0,0,0,0,0
VEN-00196,0,0,0,0,0
VEN-00197,0,0,0,0,0
VEN-00198,0,0,1,0,0
VEN-00199,0,0,0,0,0
VEN-00200,1,0,0,0,0
VEN-00201,0,0,0,0,0
VEN-00202,0,0,1,0,0
VEN-00203,0,1,0,0,0
VEN-00204,0,0,0,0,0
VEN-00205,0,0,0,0,0
VEN-00206,0,0,1,0,0
VEN-00207,0,0,0,0,0
VEN-00208,0,0,1,0,0
VEN-00209,0,0,0,0,0
VEN-00210,0,0,0,0,0
VEN-00211,0,0,0,0,0
VEN-00212,0,0,0,1,0
VEN-00213,0,0,0,1,0
VEN-00214,0,0,0,1,0
VEN-00215,0,0,0,0,0
VEN-00216,0,0,0,0,0
VEN-00217,0,0,0,0,0
VEN-00218,0,0,1,0,1
VEN-00219,0,0,0,1,0
VEN-00220,0,0,0,0,0
VEN-00221,0,0,0,0,0
VEN-00222,0,0,0,0,0
VEN-00223,0,0,1,0,0
VEN-00224,1,0,0,0,1
VEN-00225,0,1,0,0,0
VEN-00226,1,0,0,0,0
VEN-00227,0,1,1,0,0
VEN-00228,1,1,0,0,0
VEN-00229,0,0,1,0,1
VEN-00230,0,0,0,0,0
VEN-00231,0,0,0,0,0
VEN-00232,0,1,0,0,0
VEN-00233,1,1,1,0,0
VEN-00234,0,0,0,0,1
VEN-00235,0,0,0,0,0
VEN-00236,0,0,0,0,0
VEN-00237,1,0,0,1,0
VEN-00238,0,0,1,0,0
VEN-00239,0,0,0,0,0
VEN-00240,0,0,0,0,0
VEN-00241,1,0,0,0,0
VEN-00242,0,0,0,0,0
VEN-00243,0,0,0,0,0
VEN-00244,0,0,1,0,0
VEN-00245,0,0,0,0,0
VEN-00246,0,0,0,0,0
VEN-00247,0,0,0,0,0
VEN-00248,0,1,0,0,0
VEN-00249,0,1,0,1,0
VEN-00250,1,0,0,0,0
VEN-00251,0,0,0,0,0
VEN-00252,0,0,0,1,0
VEN-00253,0,0,1,0,0
VEN-00254,0,1,0,0,0
VEN-00255,0,0,0,0,0
VEN-00256,0,0,0,0,1
VEN-00257,0,0,0,0,0
VEN-00258,0,0,1,1,0
VEN-00259,0,0,0,1,0
VEN-00260,0,0,1,0,0
VEN-00261,0,0,0,0,0
VEN-00262,1,0,0,0,0
VEN-00263,0,0,0,0,0
VEN-00264,0,0,0,0,1
VEN-00265,0,1,0,0,0
VEN-00266,0,1,0,0,0
VEN-00267,0,0,0,0,0
VEN-00268,1,0,0,1,0
VEN-00269,0,0,0,0,1
VEN-00270,0,1,0,0,0
VEN-00271,0,0,0,0,0
VEN-00272,0,0,0,0,0
VEN-00273,0,0,0,0,1
VEN-00274,0,0,0,0,0
VEN-00275,0,0,0,0,0
VEN-00276,0,0,0,1,0
VEN-00277,0,0,0,0,0
VEN-00278,0,0,0,0,0
VEN-00279,0,1,0,0,0
VEN-00280,0,0,0,0,0
VEN-00281,0,0,0,0,0
VEN-00282,0,0,0,0,0
VEN-00283,0,1,0,0,0
VEN-00284,0,0,0,0,0
VEN-00285,1,1,1,0,0
VEN-00286,0,0,0,0,0
VEN-00287,0,0,0,0,0
VEN-00288,0,0,0,0,0
VEN-00289,0,0,0,0,0
VEN-00290,1,0,0,0,0
VEN-00291,0,0,0,0,0
VEN-00292,0,0,0,0,0
VEN-00293,0,0,1,1,1
VEN-00294,0,0,0,0,0
VEN-00295,0,0,0,0,0
VEN-00296,0,0,0,0,0
VEN-00297,0,0,1,0,0
VEN-00298,0,0,0,0,0
VEN-00299,0,0,0,0,0
VEN-00300,0,0,0,0,0
VEN-00301,0,0,0,0,0
VEN-00302,0,0,0,0,0
VEN-00303,1,0,0,0,0
VEN-00304,1,0,0,0,0
VEN-00305,0,0,0,0,0
VEN-00306,0,0,1,0,0
VEN-00307,0,1,0,0,1
VEN-00308,0,0,0,0,0
VEN-00309,0,0,0,0,0
VEN-00310,0,0,0,0,0
VEN-00311,0,0,0,1,0
VEN-00312,0,0,0,0,0
VEN-00313,0,0,0,0,0
VEN-00314,0,0,0,0,0
VEN-00315,0,1,0,0,0
VEN-00316,0,0,0,0,0
VEN-00317,0,0,0,1,0
VEN-00318,0,0,0,0,0
VEN-00319,0,0,0,0,0
VEN-00320,0,0,0,1,1
VEN-00321,0,0,1,0,0
VEN-00322,0,0,0,0,0
VEN-00323,0,0,0,0,0
VEN-00324,1,0,0,0,0
VEN-00325,0,0,0,0,0
VEN-00326,0,0,0,0,0
VEN-00327,0,0,0,0,0
VEN-00328,0,0,1,0,1
VEN-00329,0,0,0,0,0
VEN-00330,1,1,0,0,1
VEN-00331,0,0,0,0,0
VEN-00332,0,0,0,1,0
VEN-00333,0,0,0,0,0
VEN-00334,0,0,0,0,0
VEN-00335,0,0,0,0,0
VEN-00336,0,1,1,0,0
VEN-00337,0,0,0,0,0
VEN-00338,0,0,0,0,0
VEN-00339,0,0,0,0,0
VEN-00340,0,0,0,0,0
VEN-00341,0,0,0,1,0
VEN-00342,0,0,0,1,0
VEN-00343,1,1,0,0,0
VEN-00344,0,0,0,0,0
VEN-00345,0,0,0,1,0
VEN-00346,0,0,0,0,0
VEN-00347,0,0,0,1,0
VEN-00348,0,1,0,0,0
VEN-00349,0,0,1,1,0
VEN-00350,0,0,0,0,0
VEN-00351,0,0,0,0,0
VEN-00352,1,0,0,1,0
VEN-00353,0,1,0,0,0
VEN-00354,1,0,0,0,0
VEN-00355,1,0,0,0,0
VEN-00356,0,0,0,0,0
VEN-00357,0,0,0,0,0
VEN-00358,0,1,0,1,0
VEN-00359,0,0,0,1,0
VEN-00360,0,0,0,1,1
VEN-00361,0,1,0,0,0
VEN-00362,0,0,0,0,0
VEN-00363,0,0,0,0,0
VEN-00364,0,0,0,0,0
VEN-00365,0,1,0,0,0
VEN-00366,0,0,0,0,0
VEN-00367,0,1,0,0,0
VEN-00368,0,0,0,0,0
VEN-00369,0,0,0,0,0
VEN-00370,1,0,0,0,1
VEN-00371,1,1,0,1,0
VEN-00372,0,0,0,0,0
VEN-00373,1,0,0,0,0
VEN-00374,0,0,0,0,0
VEN-00375,0,0,0,0,0
VEN-00376,0,0,0,0,0
VEN-00377,0,0,0,0,0
VEN-00378,0,1,1,1,0
VEN-00379,0,0,0,0,0
VEN-00380,0,0,0,0,0
VEN-00381,0,0,0,0,0
VEN-00382,0,0,0,1,0
VEN-00383,0,0,0,0,0
VEN-00384,1,0,0,0,0
VEN-00385,0,0,0,0,0
VEN-00386,0,0,0,0,0
VEN-00387,0,0,0,0,0
VEN-00388,0,0,0,0,0
VEN-00389,0,0,1,1,0
VEN-00390,0,0,0,0,0
VEN-00391,0,0,0,0,0
VEN-00392,0,0,0,0,0
VEN-00393,0,0,0,0,1
VEN-00394,0,0,0,1,0
VEN-00395,0,0,0,0,0
VEN-00396,0,0,0,0,0
VEN-00397,0,0,0,0,1
VEN-00398,0,0,0,0,0
VEN-00399,0,0,0,0,1
VEN-00400,1,0,0,0,0
VEN-00401,0,0,0,0,0
VEN-00402,0,0,0,0,0
VEN-00403,1,0,0,1,0
VEN-00404,0,1,1,1,0
VEN-00405,1,0,1,0,0
VEN-00406,0,0,0,0,0
VEN-00407,0,0,0,0,0
VEN-00408,0,0,0,1,0
VEN-00409,1,0,0,0,0
VEN-00410,1,0,0,1,0
VEN-00411,0,0,1,0,0
VEN-00412,0,0,0,0,0
VEN-00413,0,0,0,0,0
VEN-00414,0,0,0,0,0
VEN-00415,0,0,0,1,0
VEN-00416,0,0,1,0,0
VEN-00417,0,0,0,0,1
VEN-00418,0,0,1,1,0
VEN-00419,0,0,0,0,0
VEN-00420,0,0,0,0,0
VEN-00421,0,0,0,0,0
VEN-00422,0,1,0,0,0
VEN-00423,0,0,1,0,0
VEN-00424,0,0,1,0,0
VEN-00425,0,0,0,0,1
VEN-00426,0,0,0,0,0
VEN-00427,0,0,0,0,0
VEN-00428,0,0,0,1,0
VEN-00429,0,0,0,0,0
VEN-00430,1,0,1,0,0
VEN-00431,0,0,0,0,0
VEN-00432,0,0,0,0,0
VEN-00433,0,0,1,0,0
VEN-00434,0,0,0,0,0
VEN-00435,1,0,0,1,0
VEN-00436,0,0,0,1,0
VEN-00437,0,0,0,0,0
VEN-00438,0,0,0,0,0
VEN-00439,0,0,0,0,0
VEN-00440,0,0,0,0,0
VEN-00441,0,0,0,1,0
VEN-00442,0,1,0,0,0
VEN-00443,0,0,1,0,0
VEN-00444,0,0,0,0,0
VEN-00445,0,0,0,0,0
VEN-00446,0,0,0,0,0
VEN-00447,0,0,1,0,0
VEN-00448,0,1,1,1,0
VEN-00449,0,0,0,0,0
VEN-00450,0,0,0,0,1
VEN-00451,0,0,0,0,0
VEN-00452,0,0,0,0,1
VEN-00453,0,0,0,0,0
VEN-00454,0,0,0,0,0
VEN-00455,0,1,0,0,1
VEN-00456,0,1,0,0,1
VEN-00457,0,0,0,0,0
VEN-00458,0,0,1,1,0
VEN-00459,0,0,0,1,0
VEN-00460,0,0,1,1,0
VEN-00461,0,0,0,0,0
VEN-00462,0,0,0,1,0
VEN-00463,0,1,0,0,0
VEN-00464,0,0,0,0,0
VEN-00465,0,0,0,0,0
VEN-00466,0,0,0,0,0
VEN-00467,0,0,0,0,0
VEN-00468,0,1,0,0,0
VEN-00469,0,0,0,0,1
VEN-00470,0,0,0,1,1
VEN-00471,0,1,0,0,0
VEN-00472,0,0,1,0,0
VEN-00473,0,0,0,0,0
VEN-00474,0,0,0,0,1
VEN-00475,1,0,0,0,0
VEN-00476,0,0,0,0,1
VEN-00477,0,0,1,0,1
VEN-00478,0,0,0,0,0
VEN-00479,0,0,0,0,0
VEN-00480,1,0,0,0,0
VEN-00481,0,1,1,1,0
VEN-00482,0,0,0,0,0
VEN-00483,0,0,0,0,0
VEN-00484,0,0,0,0,0
VEN-00485,0,0,0,0,1
VEN-00486,0,0,0,0,0
VEN-00487,0,0,0,0,0
VEN-00488,0,0,0,1,0
VEN-00489,1,1,0,0,0
VEN-00490,0,0,0,0,0
VEN-00491,1,0,0,0,0
VEN-00492,0,0,0,0,0
VEN-00493,0,0,0,1,0
VEN-00494,0,0,0,1,0
VEN-00495,0,0,0,1,0
VEN-00496,0,0,0,0,0
VEN-00497,0,0,0,0,0
VEN-00498,0,0,1,0,0
VEN-00499,0,0,0,0,0
VEN-00500,0,0,0,0,0
VEN-00501,0,0,1,0,0
VEN-00502,0,0,0,0,0
VEN-00503,0,0,0,0,0
VEN-00504,0,0,0,1,0
VEN-00505,0,0,0,1,0
VEN-00506,0,0,0,0,0
VEN-00507,0,0,0,0,0
VEN-00508,0,1,0,1,0
VEN-00509,0,0,0,1,0
VEN-00510,0,0,0,0,0
VEN-00511,1,0,0,0,0
VEN-00512,0,0,1,0,0
VEN-00513,0,0,0,0,0
VEN-00514,0,0,0,0,0
VEN-00515,0,1,0,0,0
VEN-00516,0,0,0,0,0
VEN-00517,0,0,0,1,0
VEN-00518,0,0,0,0,0
VEN-00519,0,0,0,0,0
VEN-00520,0,0,0,0,0
VEN-00521,0,0,0,0,0
VEN-00522,0,0,0,1,0
VEN-00523,0,0,0,1,0
VEN-00524,0,0,0,0,0
VEN-00525,1,0,0,0,0
VEN-00526,0,0,0,0,0
VEN-00527,0,0,1,0,0
VEN-00528,0,0,0,0,0
VEN-00529,1,0,1,0,0
VEN-00530,0,0,0,0,0
VEN-00531,0,0,0,0,0
VEN-00532,0,0,0,1,0
VEN-00533,0,0,0,0,0
VEN-00534,0,0,0,1,0
VEN-00535,0,0,0,0,0
VEN-00536,1,0,0,0,1
VEN-00537,1,0,0,0,0
VEN-00538,0,1,0,0,0
VEN-00539,0,1,0,0,0
VEN-00540,1,0,0,0,0
VEN-00541,0,0,0,0,0
VEN-00542,0,0,0,0,0
VEN-00543,0,0,0,0,0
VEN-00544,1,0,0,0,0
VEN-00545,0,0,0,0,1
VEN-00546,1,0,0,0,0
VEN-00547,0,0,0,0,0
VEN-00548,0,1,0,0,0
VEN-00549,0,0,0,1,0
VEN-00550,0,0,0,0,0
VEN-00551,0,0,0,0,0
VEN-00552,1,0,0,0,0
VEN-00553,0,0,0,0,0
VEN-00554,0,0,0,0,0
VEN-00555,0,0,0,0,0
VEN-00556,0,0,0,0,0
VEN-00557,0,0,0,0,0
VEN-00558,0,0,0,0,0
VEN-00559,0,0,0,0,0
VEN-00560,1,0,0,1,0
VEN-00561,1,0,0,0,0
VEN-00562,0,0,1,0,0
VEN-00563,0,0,0,0,0
VEN-00564,0,0,0,0,0
VEN-00565,0,0,0,0,0
VEN-00566,0,0,0,0,0
VEN-00567,1,0,0,0,1
VEN-00568,0,0,0,0,0
VEN-00569,0,0,0,0,0
VEN-00570,0,0,0,0,0
VEN-00571,1,0,0,0,0
VEN-00572,0,0,0,1,0
VEN-00573,0,1,0,0,0
VEN-00574,0,0,0,0,0
VEN-00575,0,0,0,0,1
VEN-00576,0,0,0,0,0
VEN-00577,0,0,0,0,0
VEN-00578,0,0,0,0,0
VEN-00579,0,0,0,1,0
VEN-00580,0,0,0,0,0
VEN-00581,0,0,0,1,0
VEN-00582,0,0,0,0,0
VEN-00583,0,0,0,0,0
VEN-00584,0,1,0,0,0
VEN-00585,0,0,0,1,0
VEN-00586,1,0,0,0,0
VEN-00587,0,0,1,1,0
VEN-00588,0,0,0,0,0
VEN-00589,0,0,0,0,1
VEN-00590,0,0,0,0,0
VEN-00591,0,1,0,0,0
VEN-00592,0,1,0,0,0
VEN-00593,0,0,0,0,0
VEN-00594,0,0,0,0,0
VEN-00595,0,0,0,1,0
VEN-00596,0,0,0,0,0
VEN-00597,1,0,0,0,0
VEN-00598,0,0,0,0,0
VEN-00599,0,0,0,0,0
VEN-00600,0,0,0,0,0
VEN-00601,0,0,0,0,0
VEN-00602,0,0,0,0,0
VEN-00603,0,0,0,0,0
VEN-00604,0,0,0,0,0
VEN-00605,0,0,1,1,0
VEN-00606,0,0,0,1,0
VEN-00607,0,1,0,0,0
VEN-00608,0,0,0,1,0
VEN-00609,0,0,0,0,0
VEN-00610,0,0,0,0,0
VEN-00611,1,0,0,0,1
VEN-00612,0,0,0,0,0
VEN-00613,0,0,0,0,0
VEN-00614,0,0,0,1,0
VEN-00615,0,0,0,0,0
VEN-00616,0,0,0,0,0
VEN-00617,0,0,0,0,0
VEN-00618,0,0,0,0,0
VEN-00619,0,1,1,0,0
VEN-00620,1,0,0,0,0
VEN-00621,0,0,0,0,0
VEN-00622,0,0,0,0,0
VEN-00623,0,0,0,0,1
VEN-00624,0,0,0,0,0
VEN-00625,1,0,0,0,0
VEN-00626,0,0,0,0,0
VEN-00627,0,0,0,0,0
VEN-00628,0,0,0,0,1
VEN-00629,0,0,0,0,0
VEN-00630,0,0,0,0,0
VEN-00631,0,0,0,0,0
VEN-00632,0,0,0,0,0
VEN-00633,0,0,0,0,0
VEN-00634,0,0,1,0,0
VEN-00635,0,1,0,0,0
VEN-00636,0,0,1,0,0
VEN-00637,0,0,0,0,0
VEN-00638,0,0,0,0,0
VEN-00639,0,0,1,0,1
VEN-00640,0,0,0,0,1
VEN-00641,1,0,0,0,0
VEN-00642,0,1,0,1,0
VEN-00643,0,0,0,0,1
VEN-00644,0,0,0,0,0
VEN-00645,0,0,0,0,0
VEN-00646,1,0,1,0,0
VEN-00647,1,0,1,0,0
VEN-00648,0,0,0,0,0
VEN-00649,1,0,0,0,1
VEN-00650,0,0,0,0,0
VEN-00651,0,0,1,0,0
VEN-00652,0,0,0,0,0
VEN-00653,0,0,0,1,0
VEN-00654,0,1,0,0,1
VEN-00655,0,0,0,0,0
VEN-00656,0,0,0,0,0
VEN-00657,0,1,0,0,1
VEN-00658,0,0,0,0,0
VEN-00659,1,0,0,0,0
VEN-00660,0,0,1,0,0
VEN-00661,0,0,0,0,0
VEN-00662,1,0,0,0,1
VEN-00663,0,0,0,0,0
VEN-00664,0,0,0,0,0
VEN-00665,0,0,0,0,0
VEN-00666,0,0,0,0,0
VEN-00667,1,0,1,0,0
VEN-00668,0,0,0,0,0
VEN-00669,0,0,0,0,0
VEN-00670,1,0,0,0,0
VEN-00671,0,0,0,0,0
VEN-00672,0,0,0,0,0
VEN-00673,0,0,1,0,0
VEN-00674,0,0,0,0,0
VEN-00675,0,0,0,0,1
VEN-00676,1,0,0,0,0
VEN-00677,1,0,0,0,0
VEN-00678,0,0,0,0,1
VEN-00679,0,0,0,0,0
VEN-00680,1,0,0,0,0
VEN-00681,0,1,0,0,0
VEN-00682,0,0,0,0,0
VEN-00683,1,0,0,0,0
VEN-00684,0,0,0,0,0
VEN-00685,0,0,0,0,0
VEN-00686,0,0,0,0,0
VEN-00687,0,0,1,0,0
VEN-00688,1,0,0,0,0
VEN-00689,1,1,0,1,0
VEN-00690,0,0,0,0,0
VEN-00691,1,0,0,0,0
VEN-00692,0,0,0,1,1
VEN-00693,0,0,0,0,0
VEN-00694,0,1,1,0,0
VEN-00695,0,0,0,0,0
VEN-00696,0,0,0,0,0
VEN-00697,0,0,0,0,0
VEN-00698,1,0,0,0,0
VEN-00699,1,0,0,0,0
VEN-00700,0,0,0,0,0
VEN-00701,0,0,0,0,0
VEN-00702,0,0,0,0,0
VEN-00703,0,1,0,0,0
VEN-00704,0,0,0,0,1
VEN-00705,0,0,0,1,0
VEN-00706,0,0,0,1,0
VEN-00707,1,0,0,0,0
VEN-00708,0,0,0,0,0
VEN-00709,0,0,0,0,0
VEN-00710,0,0,0,0,0
VEN-00711,0,0,1,0,0
VEN-00712,0,0,0,0,1
VEN-00713,0,0,0,0,0
VEN-00714,0,0,0,0,1
VEN-00715,0,0,0,0,0
VEN-00716,0,0,0,0,0
VEN-00717,0,0,0,0,0
VEN-00718,0,0,0,0,0
VEN-00719,0,1,0,1,0
VEN-00720,0,0,1,0,1
VEN-00721,0,0,0,0,0
VEN-00722,0,0,0,0,1
VEN-00723,0,0,0,0,1
VEN-00724,0,0,0,0,0
VEN-00725,0,0,1,0,0
VEN-00726,0,1,0,0,0
VEN-00727,0,0,0,1,0
VEN-00728,0,0,0,0,0
VEN-00729,0,0,0,0,0
VEN-00730,0,1,0,0,1
VEN-00731,0,0,0,0,0
VEN-00732,0,0,0,0,0
VEN-00733,0,0,1,0,0
VEN-00734,0,0,0,0,0
VEN-00735,1,0,0,0,0
VEN-00736,0,0,0,0,0
VEN-00737,0,0,0,0,0
VEN-00738,0,0,0,0,0
VEN-00739,0,0,0,0,0
VEN-00740,0,0,0,0,1
VEN-00741,0,1,0,0,0
VEN-00742,0,0,0,0,0
VEN-00743,0,0,0,0,0
VEN-00744,0,0,0,0,0
VEN-00745,0,0,0,0,0
VEN-00746,0,0,0,0,0
VEN-00747,0,0,0,0,0
VEN-00748,1,0,0,0,0
VEN-00749,0,0,0,0,1
VEN-00750,1,0,0,1,0
VEN-00751,1,0,0,1,0
VEN-00752,0,0,0,0,0
VEN-00753,0,0,0,0,0
VEN-00754,0,0,0,0,0
VEN-00755,0,0,0,0,1
VEN-00756,1,0,1,0,0
VEN-00757,0,1,0,0,0
VEN-00758,0,0,0,0,0
VEN-00759,0,0,1,0,1
VEN-00760,0,0,0,0,0
VEN-00761,1,0,0,0,0
VEN-00762,0,0,0,0,1
VEN-00763,0,0,0,0,0
VEN-00764,0,0,0,0,0
VEN-00765,0,0,0,0,0
VEN-00766,1,0,0,0,0
VEN-00767,1,0,0,0,0
VEN-00768,1,0,0,0,0
VEN-00769,1,0,0,0,0
VEN-00770,0,0,0,0,0
VEN-00771,0,0,0,0,0
VEN-00772,1,0,0,0,0
VEN-00773,0,0,1,1,0
VEN-00774,0,0,0,0,0
VEN-00775,0,0,0,1,0
VEN-00776,0,0,0,0,0
VEN-00777,0,0,0,0,0
VEN-00778,1,0,0,0,0
VEN-00779,0,0,1,1,1
VEN-00780,0,0,0,0,0
VEN-00781,0,0,0,0,0
VEN-00782,1,0,0,0,0
VEN-00783,0,0,0,0,0
VEN-00784,0,0,0,0,0
VEN-00785,0,0,0,0,0
VEN-00786,0,0,0,0,0
VEN-00787,1,0,1,0,0
VEN-00788,0,1,0,0,0
VEN-00789,0,0,0,0,1
VEN-00790,0,0,0,0,0
VEN-00791,0,0,0,0,0
VEN-00792,0,0,0,0,0
VEN-00793,0,0,0,0,0
VEN-00794,0,0,0,0,0
VEN-00795,0,0,0,0,0
VEN-00796,0,0,0,0,1
VEN-00797,0,0,0,0,0
VEN-00798,0,0,0,0,0
VEN-00799,0,0,0,0,0
VEN-00800,0,0,0,0,0
VEN-00801,1,0,0,0,0
VEN-00802,1,0,0,0,0
VEN-00803,0,0,0,0,1
VEN-00804,0,1,0,0,0
VEN-00805,0,0,0,0,1
VEN-00806,0,0,0,0,0
VEN-00807,0,1,0,0,0
VEN-00808,0,0,0,0,1
VEN-00809,1,0,0,0,0
VEN-00810,1,1,0,0,1
VEN-00811,0,0,0,0,0
VEN-00812,0,0,0,0,0
VEN-00813,0,0,0,0,1
VEN-00814,0,0,1,0,0
VEN-00815,0,0,0,0,0
VEN-00816,0,0,0,0,0
VEN-00817,0,0,0,0,0
